id,project_name,title,description,name_categories,token_name,proof_archive_link,technical_issue,token_address,token_addresses,logo_link,date,scam_updates,proof_link,website_link,webarchive_link,twitter_link,telegram_link,our_post_link,funds_lost,funds_returned,funds_by_chains,funds_recovered,active,git_hub,git_hub_contract_link,discord,bug_bounty_program_link,bug_bounty_program_company,audit_code_conf,is_verified_source_code,is_public_team,scam_type,network,scamNetworks,auditedBy
411,JamTruAdr2,JamTruAdr2,"<p>A review of the token contract shows low network activity, which didn't lead to significant funds loss for the user in the past. The project is considered abandoned.</p><p><br></p>",Token,JTA2,,,0x96cf24bf5cfdf41d6aeee5d4b73d15fe986ecd8b,[],safe/files/scamDatabase/logo/60e822db722e2.png,,[],"https://twitter.com/Token_Sniffer/status/1381346761566916614, https://cryptot3ddybear.gitlab.io/blog/posts/scam-explained-bsc-stealthy-lp-block/",,,,,,0,0,[],,1,,,,,,,,,"{'id': 10, 'type': 'Rugpull'}",{},"[{'networks_id': 137, 'scam_database_id': 411, 'networks': {'id': 137, 'name': 'Polygon', 'icon_link': 'safe/files/network/polygon.png'}}]",[]
410,JamTruAdr3,JamTruAdr3,"<p>A review of the token contract shows low network activity, which didn't lead to significant funds loss for the user in the past. The project is considered abandoned.</p><p><br></p>",Token,JTA3,,,0xc09b3150424625311b8cb4b2b13732420e2ae701,[],safe/files/scamDatabase/logo/60e8227304f1c.png,,[],"https://twitter.com/Token_Sniffer/status/1381346761566916614, https://cryptot3ddybear.gitlab.io/blog/posts/scam-explained-bsc-stealthy-lp-block/",,,,,,0,0,[],,1,,,,,,,,,"{'id': 10, 'type': 'Rugpull'}",{},"[{'networks_id': 137, 'scam_database_id': 410, 'networks': {'id': 137, 'name': 'Polygon', 'icon_link': 'safe/files/network/polygon.png'}}]",[]
409,SALT,SALT,"<p data-f-id=""pbf"" style=""text-align: center; font-size: 14px; margin-top: 30px; opacity: 0.65; font-family: sans-serif;"">Powered by <a href=""https://www.froala.com/wysiwyg-editor?pb=1"" title=""Froala Editor"">Froala Editor</a></p>",Borrowing and Lending,SALT,,"<p data-f-id=""pbf"" style=""text-align: center; font-size: 14px; margin-top: 30px; opacity: 0.65; font-family: sans-serif;"">Powered by <a href=""https://www.froala.com/wysiwyg-editor?pb=1"" title=""Froala Editor"">Froala Editor</a></p>",0x4156d3342d5c385a87d264f90653733592000581,[],safe/files/scamDatabase/logo/60e822478edeb.png,,[],"https://github.com/The-Blockchain-Association/sec-notice-list,  https://www.sec.gov/spotlight/cybersecurity-enforcement-actions",,,,,,0,0,[],,1,,,,,,,,,"{'id': 10, 'type': 'Rugpull'}",{},"[{'networks_id': 1, 'scam_database_id': 409, 'networks': {'id': 1, 'name': 'Ethereum', 'icon_link': 'safe/files/network/ethereum.png'}}]",[]
408,JamTruAdr,JamTruAdr,"<p>A review of the token contract shows low network activity, which didn't lead to significant funds loss for the user in the past. The project is considered abandoned.</p><p><br></p>",Token,JTA,,,0xc20b743316e7701a281167213fb266aa7651d99d,[],safe/files/scamDatabase/logo/60e822386e9a7.png,,[],"https://twitter.com/Token_Sniffer/status/1381346761566916614, https://cryptot3ddybear.gitlab.io/blog/posts/scam-explained-bsc-stealthy-lp-block/",,,,,,0,0,[],,1,,,,,,,,,"{'id': 10, 'type': 'Rugpull'}",{},"[{'networks_id': 137, 'scam_database_id': 408, 'networks': {'id': 137, 'name': 'Polygon', 'icon_link': 'safe/files/network/polygon.png'}}]",[]
406,HoDooi,HoDooi,"<p>A review of the token contract shows low network activity, which didn't lead to significant funds loss for the user in the past. The project is considered abandoned.</p><p><br></p>",Token,HOD,,,0x6efa299eb78161aca289f97b5410b343cce38c05,[],safe/files/scamDatabase/logo/60e81e8cb0334.png,,[],https://twitter.com/Token_Sniffer/status/1374999601485291522,,,,,,0,0,[],,1,,,,,,,,,"{'id': 10, 'type': 'Rugpull'}",{},"[{'networks_id': 1, 'scam_database_id': 406, 'networks': {'id': 1, 'name': 'Ethereum', 'icon_link': 'safe/files/network/ethereum.png'}}]",[]
405,Yearn Prometheus,Yearn Prometheus,"<p>A review of the token contract shows low network activity, which didn't lead to significant funds loss for the user in the past. The project is considered abandoned.</p><p><br></p>",Yield Aggregator,PRM,,,0x528ff33bf5bf96b5392c10bc4748d9e9fb5386b2,[],safe/files/scamDatabase/logo/60e81e2e8d249.png,,[],https://twitter.com/Token_Sniffer/status/1374999601485291522,,,,,,0,0,[],,1,,,,,,,,,"{'id': 10, 'type': 'Rugpull'}",{},"[{'networks_id': 1, 'scam_database_id': 405, 'networks': {'id': 1, 'name': 'Ethereum', 'icon_link': 'safe/files/network/ethereum.png'}}]",[]
404,Goblin Town,Goblin Town,"<p>A review of the token contract shows low network activity, which didn't lead to significant funds loss for the user in the past. The project is considered abandoned.</p><p><br></p>",Token,GOBLIN,,,0xbb7f05aa2dd33425ea0848cda8e4ea54718c6336,[],safe/files/scamDatabase/logo/60e81e01a43d9.png,,[],https://twitter.com/Token_Sniffer/status/1374999601485291522,,,,,,0,0,[],,1,,,,,,,,,"{'id': 10, 'type': 'Rugpull'}",{},"[{'networks_id': 1, 'scam_database_id': 404, 'networks': {'id': 1, 'name': 'Ethereum', 'icon_link': 'safe/files/network/ethereum.png'}}]",[]
403,NOVASHIBA.COM,NOVASHIBA.COM,"<p>A review of the token contract shows low network activity, which didn't lead to significant funds loss for the user in the past. The project is considered abandoned.</p><p><br></p>",Exchange (DEX),NOVA,,,0x68ca1321bf1bf6b243f57c5edbee62304fd8cb30,[],safe/files/scamDatabase/logo/60e81d6e0d2f7.png,,[],https://twitter.com/Token_Sniffer/status/1374999601485291522,,,,,,0,0,[],,1,,,,,,,,,"{'id': 10, 'type': 'Rugpull'}",{},"[{'networks_id': 56, 'scam_database_id': 403, 'networks': {'id': 56, 'name': 'Binance', 'icon_link': 'safe/files/network/bsc.png'}}]",[]
402,Moonwalk,Moonwalk,"<p>A review of the token contract shows low network activity, which didn't lead to significant funds loss for the user in the past. The project is considered abandoned.</p><p><br></p>",Token,MOONWALK,,,0xe64f4a5c364a92ab62e27076907d55334609c8ad,[],safe/files/scamDatabase/logo/60e81cd6de4e0.png,,[],https://twitter.com/Token_Sniffer/status/1374999601485291522,,,,,,0,0,[],,1,,,,,,,,,"{'id': 10, 'type': 'Rugpull'}",{},"[{'networks_id': 56, 'scam_database_id': 402, 'networks': {'id': 56, 'name': 'Binance', 'icon_link': 'safe/files/network/bsc.png'}}]",[]
401,Nabox,Nabox,"<p>A review of the token contract shows low network activity, which didn't lead to significant funds loss for the user in the past. The project is considered abandoned.</p><p><br></p>",Token,Nabox,,,0x4f75869a06535161515df34b84960f58c5c41da1,[],safe/files/scamDatabase/logo/60e819c261643.png,,[],"https://twitter.com/Token_Sniffer/status/1381346761566916614, https://cryptot3ddybear.gitlab.io/blog/posts/scam-explained-bsc-stealthy-lp-block/",,,,,,0,0,[],,1,,,,,,,,,"{'id': 10, 'type': 'Rugpull'}",{},"[{'networks_id': 56, 'scam_database_id': 401, 'networks': {'id': 56, 'name': 'Binance', 'icon_link': 'safe/files/network/bsc.png'}}]",[]
